Protein_Name,Protein_Labels,Source,Predicted results,
A0A0A1C930,envelope,By Similarity|UniProtKB:A0A0A1C3I2,envelope,
A0A0B5A051,envelope,Manual assertion|PubMed:25564559,envelope,
A2RVM0,envelope,Publication,envelope,
A2T1U1,envelope,Publication,membrane,
A8MPR5,envelope,Manual assertion,membrane,
B7ZWR6,envelope,Publication,envelope,
B9DFK5,envelope,By Similarity|UniProtKB:Q9C9Z2,envelope,
F4J220,envelope,Publication|PubMed:17652095,envelope,
F4J3N2,envelope,Manual assertion,membrane,
F4JPW1,envelope,Publication|PubMed:19542295,envelope,
I2CYZ4,envelope,Publication|PubMed:22562471,envelope,
O49815,envelope,Publication,envelope,
O64390,envelope,By Similarity,envelope,
O65797,envelope,Manual assertion|PubMed:23175755,envelope,
O80952,envelope,Publication|PubMed:11741606,envelope,
O81770,envelope,"Publication|PubMed:11171188, Publication|PubMed:11553816",envelope,
O82730,envelope,Publication|PubMed:11553816,envelope,
P18823,envelope,Publication|PubMed:12054435,envelope,
P25857,stroma|envelope,By Similarity|UniProtKB:P25856,stroma,
P29518,envelope,Publication|PubMed:21330298,envelope,
P48622,envelope,Publication,envelope,
Q15KI9,envelope,Publication,envelope,
Q1EBV7,envelope,Publication,envelope,
Q2KNB5,envelope,By Similarity,envelope,
Q2KNB7,envelope,By Similarity,envelope,
Q37145,envelope,Publication,envelope,
Q38932,envelope,Manual assertion,envelope,
Q38954,envelope,"Publication|PubMed:12172020, Publication|PubMed:15200639",envelope,
Q3KTM0,envelope,Publication,envelope,
Q41008,envelope,"Publication|PubMed:12054435, Publication|PubMed:7766898",envelope,
Q41364,envelope,Publication|PubMed:7873543,envelope,
Q5W676,envelope,By Similarity,envelope,
Q67ZM7,envelope,Publication,envelope,
Q6NLA5,envelope,Publication|PubMed:17652095,envelope,
Q6NQL6,envelope,Publication|PubMed:17652095,envelope,
Q8LPR9,envelope,Publication,envelope,
Q8LQ68,envelope,By Similarity,envelope,
Q8W496,envelope,Publication,envelope,
Q949X0,envelope,Publication|PubMed:15240892,envelope,
Q949Y5,envelope,Publication,membrane,
Q9C9Z2,envelope,Publication|PubMed:23596191,envelope,
Q9FMF7,envelope,Publication,envelope,
Q9FVQ4,envelope,"Publication|PubMed:12766230, Publication|PubMed:23382251",envelope,
Q9LUS2,envelope,By Similarity|UniProtKB:O23680,envelope,
Q9LXV3,envelope,Publication,envelope,
Q9M3H5,envelope,Publication,envelope,
Q9M3W5,envelope,Publication,envelope,
Q9S7N7,envelope,Manual assertion,,
Q9SHU7,envelope,Publication,envelope,
Q9SI93,envelope,Publication|PubMed:11553816,envelope,
Q9SLF3,envelope,By Similarity|UniProtKB:O23680,envelope,
Q9SUV1,envelope,Publication,membrane,
Q9SZZ8,envelope,Publication,envelope,
Q9ZSR7,envelope,Publication,envelope,
A0A076FF10,envelope,By Similarity|UniProtKB:A0A076FFM5,envelope,
A0A0B4ZTQ2,envelope,Manual assertion|PubMed:25564559,envelope,
A0A0D3MU50,envelope,Publication|PubMed:25754094,membrane,
A0A0G2RKY1,envelope,By Similarity|UniProtKB:Q93ZB2,envelope,
A0A455ZJC3,envelope,Manual assertion,envelope,
A1JHN0,envelope,Publication,membrane,
A8HYJ1,envelope,By Similarity|UniProtKB:Q38906,envelope,
B9A1Q4,envelope,Publication|PubMed:19091879,envelope,
D8WUA4,envelope,By Similarity|UniProtKB:Q41062,envelope,
O22261,envelope,Publication,envelope,
O23053,envelope,Manual assertion,membrane,
O24303,envelope,Publication|PubMed:8861951,envelope,
O49814,envelope,Publication,envelope,
Q10M50,stroma|envelope,By Similarity,envelope,
Q38833,envelope,Publication,envelope,
Q41050,envelope,By Similarity,envelope,
Q4LDF9,envelope,By Similarity,envelope,
Q56VS4,envelope,Manual assertion,envelope,
Q5ENN5,envelope,Publication,,
Q5VQL3,envelope,Publication,envelope,
Q5ZEG0,envelope,Publication|PubMed:25330236,envelope,
Q66GI9,envelope,Publication,envelope,
Q69VR7,envelope,Publication,envelope,
Q6ZLD3,envelope,By Similarity,envelope,
Q7Y0C8,envelope,Publication,Plastoglobule,
Q84QU8,envelope,Publication,envelope,
Q8H0T6,envelope,Publication,envelope,
Q8L6H7,envelope,By Similarity|UniProtKB:Q93Y07,envelope,
Q8L7Z9,envelope,Publication,envelope,
Q8LFP9,envelope,Manual assertion,envelope,
Q8S4R4,envelope,Publication|PubMed:15557094,envelope,
Q9FHX2,envelope,Publication|PubMed:21371898,envelope,
Q9LF61,envelope,Publication,envelope,
Q9LTG0,envelope,Publication,envelope,
Q9LVH5,envelope,Publication,envelope,
Q9LZ76,envelope,Publication,envelope,
Q9M895,envelope,Manual assertion,membrane,
Q9M9Y8,envelope,By Similarity,envelope,
Q9SAC0,envelope,Publication,envelope,
Q9SEK2,envelope,Publication,envelope,
Q9SQ76,envelope,By Similarity,envelope,
Q9SUI4,envelope,Manual assertion,membrane,
Q9ZVH7,envelope,Publication,envelope,
W0RYD3,envelope,By Similarity|UniProtKB:F4ISL7,envelope,
A0A075FBT3,envelope,Publication,stroma,
A0A077K9K6,envelope,By Similarity|UniProtKB:A0A077K8G3,envelope,
A0A078IS66,envelope,By Similarity|UniProtKB:Q6RVV4,envelope,
A0A078ISJ6,envelope,By Similarity|UniProtKB:A2RVM0,envelope,
A0A0D3MU35,envelope,Publication|PubMed:25754094,membrane,
A0A2K9RFY0,envelope,Publication|PubMed:29315936,stroma,
A0A2K9RG08,envelope,Publication|PubMed:29315936,envelope,
A4GYX4,envelope,By Similarity|UniProtKB:P56785,envelope,
A7Y3K2,envelope,By Similarity|UniProtKB:P56785,envelope,
A8W3M6,envelope,By Similarity|UniProtKB:P56785,envelope,
A9SV59,envelope,Publication,envelope,
A9SV60,envelope,Publication,envelope,
A9SY64,envelope,Publication,envelope,
A9SY65,envelope,Publication,envelope,
B1B5P4,envelope,Publication,envelope,
B3H707,envelope,Manual assertion,envelope,
B3SGL0,envelope,Publication,envelope,
B6SCF4,envelope,Manual assertion,stroma,
B8ANF1,stroma|envelope,By Similarity,envelope,
B8ANR3,envelope,By Similarity,envelope,
B8APK3,envelope,Publication,envelope,
C3VEQ1,envelope,Publication,envelope,
D9IL24,envelope,Manual assertion,envelope,
E5RP65,envelope,Manual assertion|Ref.1,envelope,
F4HT41,envelope,Publication,envelope,
F4KDA6,envelope,Publication,membrane,
O65837,envelope,Manual assertion,envelope,
O81006,envelope,By Similarity,envelope,
O82150,envelope,Publication,membrane,
P23525,envelope,Publication|PubMed:1879527,envelope,
P36495,envelope,Publication,envelope,
P48618,envelope,Publication,envelope,
P48621,envelope,Publication,envelope,
P48627,envelope,Publication,envelope,
P48628,envelope,Publication,envelope,
P52178,envelope,By Similarity,envelope,
P92935,envelope,Manual assertion,envelope,
P93115,envelope,Publication,envelope,
Q0DAK7,envelope,By Similarity|UniProtKB:Q7XB14,envelope,
Q0JQS5,envelope,Publication,membrane,
Q0WWW9,envelope,Publication,envelope,
Q10A77,stroma|envelope,By Similarity|UniProtKB:Q8H0U5,envelope,
Q1H5C9,envelope,By Similarity,envelope,
Q29Q26,envelope,By Similarity|UniProtKB:Q9SAR5,membrane,
Q2MI42,envelope,By Similarity|UniProtKB:P56785,envelope,
Q2N2K4,envelope,Publication,envelope,
